,inflation rate in %,adjusted inflation
0,0.15%,0.9985
1,0.36%,0.9949054
2,0.51%,0.98983138246
3,0.14%,0.988445618524556
4,0.14%,0.9870617946586216
5,0.36%,0.9835083721978506
6,0.21%,0.9814430046162351
7,0.28%,0.9786949642033096
8,0.28%,0.9759546183035404
9,0.35%,0.972538777139478
10,0.14%,0.9711772228514828
11,-0.07%,0.9718570469074788
12,0.49%,0.9670949473776321
13,0.35%,0.9637101150618105
14,0.35%,0.9603371296590942
15,0.28%,0.9576481856960487
16,0.14%,0.9563074782360743
17,0.14%,0.9549686477665439
18,0.00%,0.9549686477665439
19,0.28%,0.9522947355527975
20,0.21%,0.9502949166081367
21,0.41%,0.9463987074500434
22,0.07%,0.9457362283548283
23,0.00%,0.9457362283548283
24,0.27%,0.9431827405382702
25,0.34%,0.9399759192204401
26,0.34%,0.9367800010950906
27,0.14%,0.9354685090935575
28,0.07%,0.934813681137192
29,0.34%,0.9316353146213255
30,0.27%,0.9291198992718479
31,0.40%,0.9254034196747605
32,0.27%,0.9229048304416386
33,0.07%,0.9222587970603294
34,0.13%,0.921059860624151
35,0.00%,0.921059860624151
36,0.40%,0.9173756211816544
37,0.40%,0.9137061186969277
38,0.33%,0.910690888505228
39,0.33%,0.9076856085731607
40,0.20%,0.9058702373560144
41,0.20%,0.9040584968813024
42,0.00%,0.9040584968813024
43,0.26%,0.901707944789411
44,0.20%,0.8999045288998322
45,0.33%,0.8969348439544628
46,-0.07%,0.8975626983452308
47,-0.07%,0.8981909922340724
48,0.59%,0.8928916653798914
49,0.32%,0.8900344120506758
50,0.52%,0.8854062331080123
51,0.39%,0.881953148798891
52,0.19%,0.8802774378161731
53,0.06%,0.8797492713534834
54,0.19%,0.8780777477379117
55,0.19%,0.8764094000172097
56,0.32%,0.8736048899371547
57,0.32%,0.8708093542893558
58,0.19%,0.869154816516206
59,0.00%,0.869154816516206
60,0.32%,0.8663735211033541
61,0.31%,0.8636877631879337
62,0.25%,0.8615285437799639
63,0.12%,0.860494709527428
64,-0.06%,0.8610110063531444
65,0.12%,0.8599777931455207
66,0.12%,0.8589458197937461
67,0.19%,0.857313822736138
68,0.25%,0.8551705381792977
69,0.25%,0.8530326118338495
70,-0.06%,0.8535444314009497
71,-0.12%,0.8545686847186309
72,0.19%,0.8529450042176655
73,0.19%,0.851324408709652
74,0.19%,0.8497068923331036
75,0.18%,0.848177419926904
76,0.18%,0.8466507005710355
77,0.12%,0.8456347197303503
78,0.12%,0.8446199580666739
79,0.12%,0.8436064141169939
80,0.12%,0.8425940864200535
81,0.24%,0.8405718606126454
82,0.00%,0.8405718606126454
83,-0.06%,0.8410762037290129
84,0.24%,0.8390576208400633
85,0.12%,0.8380507516950553
86,0.30%,0.83553659943997
87,0.73%,0.8294371822640583
88,0.00%,0.8294371822640583
89,0.00%,0.8294371822640583
90,0.30%,0.8269488707172661
91,0.24%,0.8249641934275447
92,0.48%,0.8210043652990925
93,0.18%,0.8195265574415541
94,0.06%,0.8190348415070892
95,0.00%,0.8190348415070892
96,0.30%,0.8165777369825679
97,0.59%,0.8117599283343707
98,0.82%,0.8051034969220289
99,0.06%,0.8046204348238756
100,0.12%,0.8036548903020869
101,0.52%,0.7994758848725161
102,0.23%,0.7976370903373093
103,0.00%,0.7976370903373093
104,0.52%,0.7934893774675553
105,0.17%,0.7921404455258605
106,0.06%,0.7916651612585449
107,-0.06%,0.7921401603553
108,0.63%,0.7871496773450616
109,0.40%,0.7840010786356814
110,0.23%,0.7821978761548193
111,0.40%,0.7790690846502
112,0.45%,0.7755632737692741
113,0.17%,0.7742448162038663
114,-0.28%,0.776412701689237
115,0.00%,0.776412701689237
116,0.45%,0.7729188445316355
117,-0.34%,0.7755467686030432
118,-0.17%,0.7768651981096684
119,-0.39%,0.7798949723822961
120,0.23%,0.7781012139458169
121,0.40%,0.7749888090900336
122,0.56%,0.7706488717591294
123,0.56%,0.7663332380772783
124,0.00%,0.7663332380772783
125,0.06%,0.7658734381344319
126,0.11%,0.765030977352484
127,0.33%,0.7625063751272209
128,0.17%,0.7612101142895046
129,0.17%,0.7599160570952124
130,0.00%,0.7599160570952124
131,-0.22%,0.7615878724208218
132,0.44%,0.7582368857821702
133,0.77%,0.7523984617616475
134,0.60%,0.7478840709910776
135,-0.22%,0.749529415947258
136,-0.16%,0.7507286630127736
137,0.11%,0.7499028614834596
138,0.11%,0.7490779683358278
139,0.38%,0.7462314720561517
140,0.33%,0.7437689081983664
141,-0.11%,0.7445870539973847
142,-0.27%,0.7465974390431775
143,-0.11%,0.7474186962261251
144,0.49%,0.743756344614617
145,0.54%,0.7397400603536981
146,0.64%,0.7350057239674345
147,0.32%,0.7326537056507387
148,0.59%,0.7283310487873994
149,0.32%,0.7260003894312798
150,-0.16%,0.7271619900543699
151,0.05%,0.7267984090593428
152,0.21%,0.7252721324003182
153,0.53%,0.7214281900985965
154,0.05%,0.7210674760035473
155,-0.37%,0.7237354256647605
156,0.21%,0.7222155812708645
157,0.58%,0.7180267308994934
158,0.78%,0.7124261223984774
159,0.67%,0.7076528673784075
160,-0.10%,0.7083605202457858
161,0.05%,0.7080063399856629
162,0.46%,0.7047495108217288
163,0.51%,0.701155288316538
164,1.22%,0.6926011937990761
165,0.20%,0.6912159914114779
166,-0.80%,0.6967457193427697
167,-0.40%,0.6995327022201409
168,0.76%,0.6942162536832678
169,0.20%,0.6928278211759012
170,0.55%,0.6890172681594339
171,0.85%,0.6831606213800787
172,0.50%,0.6797448182731783
173,0.20%,0.678385328636632
174,0.30%,0.6763501726507222
175,0.20%,0.6749974723054207
176,-0.49%,0.6783049599197172
177,-0.54%,0.6819678067032837
178,-0.15%,0.6829907584133387
179,0.15%,0.6819662722757187
180,0.31%,0.679852176831664
181,0.54%,0.676180975076773
182,0.91%,0.6700277282035744
183,0.65%,0.6656725479702512
184,0.61%,0.6616119454276327
185,0.19%,0.6603548827313201
186,-0.03%,0.6605529891961395
187,-0.18%,0.6617419845766925
188,0.28%,0.6598891070198778
189,0.21%,0.6585033398951361
190,0.59%,0.6546181701897548
191,-0.07%,0.6550764029088876
192,0.50%,0.6518010208943431
193,0.29%,0.6499107979337495
194,0.87%,0.6442565739917259
195,0.61%,0.6403266088903763
196,0.84%,0.6349478653756971
197,1.01%,0.6285348919354026
198,0.53%,0.625203657008145
199,-0.40%,0.6277044716361775
200,-0.14%,0.6285832578964682
201,-1.01%,0.6349319488012225
202,-1.92%,0.647122642218206
203,-1.03%,0.6537880054330535
204,0.44%,0.650911338209148
205,0.50%,0.6476567815181022
206,0.24%,0.6461024052424589
207,0.25%,0.6444871492293528
208,0.29%,0.6426181364965876
209,0.86%,0.637091620522717
210,-0.16%,0.6381109671155534
211,0.22%,0.6367071229878992
212,0.06%,0.6363250987141065
213,0.10%,0.6356887736153923
214,0.07%,0.6352437914738616
215,-0.18%,0.6363872302985145
216,0.34%,0.6342235137154996
217,0.02%,0.6340966690127565
218,0.41%,0.6314968726698043
219,0.17%,0.6304233279862655
220,0.08%,0.6299189893238765
221,-0.10%,0.6305489083132003
222,0.02%,0.6304227985315377
223,0.14%,0.6295402066135936
224,0.06%,0.6291624824896254
225,0.12%,0.6284074875106378
226,0.04%,0.6281561245156335
227,0.17%,0.6270882591039569
228,0.48%,0.624078235460258
229,0.49%,0.6210202521065027
230,0.98%,0.614934253635859
231,0.64%,0.6109986744125895
232,0.47%,0.6081269806428503
233,-0.11%,0.6087959203215575
234,0.09%,0.6082480039932681
235,0.28%,0.6065449095820868
236,0.15%,0.6056350922177137
237,-0.21%,0.606906925911371
238,-0.08%,0.6073924514521
239,-0.25%,0.6089109325807301
240,0.44%,0.606231724477375
241,0.44%,0.6035643048896745
242,0.76%,0.598977216172513
243,0.30%,0.5971802845239954
244,-0.12%,0.5978969008654242
245,-0.15%,0.5987937462167224
246,-0.16%,0.5997518162106692
247,0.56%,0.5963932060398894
248,0.45%,0.5937094366127099
249,-0.04%,0.593946920387355
250,-0.47%,0.5967384709131754
251,-0.27%,0.598349664784641
252,0.30%,0.5965546157902871
253,0.82%,0.5916628679408068
254,0.26%,0.5901245444841606
255,-0.10%,0.5907146690286448
256,0.18%,0.5896513826243932
257,0.24%,0.5882362193060947
258,0.04%,0.5880009248183723
259,0.12%,0.5872953237085903
260,0.12%,0.58659056932014
261,-0.26%,0.5881157048003723
262,-0.20%,0.5892919362099731
263,-0.01%,0.589350865403594
264,0.37%,0.5871702672016007
265,0.37%,0.5849977372129548
266,0.64%,0.5812537516947919
267,0.33%,0.5793356143141991
268,0.35%,0.5773079396640994
269,0.19%,0.5762110545787377
270,-0.04%,0.5764415390005692
271,-0.17%,0.5774214896168701
272,0.08%,0.5769595524251766
273,-0.25%,0.5784019513062395
274,-0.54%,0.5815253218432932
275,-0.57%,0.5848400161778
276,-0.47%,0.5875887642538357
277,0.43%,0.5850621325675441
278,0.60%,0.5815517597721389
279,0.20%,0.5803886562525946
280,0.51%,0.5774286741057064
281,0.35%,0.5754076737463365
282,0.01%,0.5753501329789619
283,-0.14%,0.5761556231651325
284,-0.16%,0.5770774721621967
285,-0.04%,0.5773083031510616
286,-0.21%,0.5785206505876789
287,-0.34%,0.580487620799677
288,0.17%,0.5795007918443175
289,0.08%,0.579037191210842
290,0.43%,0.5765473312886353
291,0.47%,0.5738375588315787
292,0.41%,0.5714848248403692
293,0.33%,0.569598924918396
294,-0.16%,0.5705102831982655
295,0.09%,0.569996823943387
296,0.24%,0.5686288315659229
297,0.12%,0.5679464769680438
298,-0.16%,0.5688551913311927
299,0.03%,0.5686845347737933
300,0.58%,0.5653861644721053
301,0.31%,0.5636334673622418
302,0.08%,0.563182560588352
303,0.30%,0.5614930129065869
304,0.09%,0.560987669194971
305,0.09%,0.5604827802926955
306,-0.07%,0.5608751182389003
307,0.30%,0.5591924928841836
308,0.53%,0.5562287726718974
309,-0.06%,0.5565625099355005
310,0.00%,0.5565625099355005
311,-0.06%,0.5568964474414617
312,0.54%,0.5538892066252779
313,0.45%,0.5513967051954641
314,0.23%,0.5501284927735146
315,0.40%,0.5479279788024205
316,0.42%,0.5456266812914503
317,0.16%,0.544753678601384
318,0.01%,0.5446992032335238
319,0.06%,0.5443723837115837
320,0.12%,0.5437191368511298
321,0.18%,0.5427404424047978
322,-0.33%,0.5445314858647337
323,-0.32%,0.5462739866195009
324,0.19%,0.5452360660449238
325,0.42%,0.5429460745675352
326,0.56%,0.539905576549957
327,0.53%,0.5370440769942422
328,0.21%,0.5359162844325542
329,0.02%,0.5358091011756677
330,0.17%,0.5348982257036691
331,-0.01%,0.5349517155262394
332,0.08%,0.5345237541538185
333,0.23%,0.5332943495192647
334,-0.05%,0.5335609966940242
335,-0.09%,0.5340412015910488
336,0.39%,0.5319584409048438
337,0.27%,0.5305221531144007
338,-0.22%,0.5316893018512523
